,names,Joincount,Expected,Variance,z.value,p,transect
1,amb.sal:amb.sal,19.39166667,13.0659824,3.502287355,3.38011614,0.000724552,4
2,cyl.aca:cyl.aca,0,0.014662757,0.005764241,-0.193127694,0.846858964,4
3,cyl.ech:cyl.ech,0,0.224340176,0.085125031,-0.768915142,0.441943688,4
4,cyl.ram:cyl.ram,0,0.052785924,0.020527812,-0.368423055,0.712557809,4
5,ephedra:ephedra,9.033333333,4.633431085,1.471244185,3.62744343,0.000286241,4
6,eri.coo:eri.coo,0,0.014662757,0.005764241,-0.193127694,0.846858964,4
7,lar.tri:lar.tri,1.083333333,0.307917889,0.115877051,2.277905636,0.0227322,4
8,men.spi:men.spi,0,0.008797654,0.003467887,-0.149394439,0.881242399,4
9,noID:noID,1.766666667,0.338709677,0.127113269,4.005158277,6.20E-05,4
10,sal.mex:sal.mex,6.466666667,0.439882698,0.163716481,14.89496285,3.55E-50,4
11,tha.mon:tha.mon,0.916666667,0.278592375,0.10513064,1.967916162,0.049077685,4
12,u3:u3,87.80833333,82.03079179,9.864304841,1.839542536,0.065835428,4
13,yuc.sch:yuc.sch,1.166666667,0.014662757,0.005764241,15.1733992,5.31E-52,4
14,cyl.aca:amb.sal,0.833333333,0.982404692,0.31843101,-0.264171847,0.791647504,4
15,cyl.ech:amb.sal,5.533333333,3.536656891,1.130558155,1.877851478,0.060401486,4
16,cyl.ech:cyl.aca,0.416666667,0.131964809,0.050836573,1.262705771,0.206694939,4
17,cyl.ram:amb.sal,1.541666667,1.768328446,0.570746052,-0.300024579,0.764158407,4
18,cyl.ram:cyl.aca,0.333333333,0.065982405,0.025731047,1.666682863,0.095577482,4
19,cyl.ram:cyl.ech,0,0.237536657,0.091022954,-0.787327058,0.431090434,4
20,ephedra:amb.sal,13.175,15.71847507,4.689935079,-1.174475794,0.240204502,4
21,ephedra:cyl.aca,0.416666667,0.586510264,0.206788601,-0.373495937,0.708779369,4
22,ephedra:cyl.ech,0.833333333,2.11143695,0.732905476,-1.49293906,0.13545314,4
23,ephedra:cyl.ram,0.625,1.055718475,0.370445099,-0.707671285,0.479149413,4
24,eri.coo:amb.sal,0,0.982404692,0.31843101,-1.740935778,0.081694836,4
25,eri.coo:cyl.aca,0,0.036656891,0.014372251,-0.305768852,0.759780646,4
26,eri.coo:cyl.ech,0,0.131964809,0.050836573,-0.585288512,0.558353738,4
27,eri.coo:cyl.ram,0.75,0.065982405,0.025731047,4.264209629,2.01E-05,4
28,eri.coo:ephedra,1.416666667,0.586510264,0.206788601,1.825562157,0.067916241,4
29,lar.tri:amb.sal,1.291666667,4.126099707,1.314732423,-2.471994585,0.013436155,4
30,lar.tri:cyl.aca,0,0.153958944,0.059066078,-0.633484302,0.526417429,4
31,lar.tri:cyl.ech,0.833333333,0.554252199,0.209006745,0.610450323,0.541563541,4
32,lar.tri:cyl.ram,1.666666667,0.2771261,0.105760304,4.272773634,1.93E-05,4
33,lar.tri:ephedra,2.166666667,2.463343109,0.851951219,-0.321422073,0.747890558,4
34,lar.tri:eri.coo,0,0.153958944,0.059066078,-0.633484302,0.526417429,4
35,men.spi:amb.sal,0.375,0.785923754,0.255014782,-0.813726705,0.415801532,4
36,men.spi:cyl.aca,0,0.029325513,0.011513245,-0.273304473,0.784619178,4
37,men.spi:cyl.ech,0,0.105571848,0.040722912,-0.523152987,0.600867794,4
38,men.spi:cyl.ram,0,0.052785924,0.020612338,-0.367666866,0.71312165,4
39,men.spi:ephedra,0.5,0.469208211,0.165628034,0.075660289,0.93968937,4
40,men.spi:eri.coo,0,0.029325513,0.011513245,-0.273304473,0.784619178,4
41,men.spi:lar.tri,0.833333333,0.123167155,0.047314933,3.264832239,0.001095289,4
42,noID:amb.sal,2.6,4.322580645,1.375853871,-1.468565793,0.141950599,4
43,noID:cyl.aca,0,0.161290323,0.061793801,-0.64883737,0.5164435,4
44,noID:cyl.ech,0.35,0.580645161,0.218664355,-0.493236663,0.621845375,4
45,noID:cyl.ram,0,0.290322581,0.110645253,-0.872799367,0.382772445,4
46,noID:ephedra,1.541666667,2.580645161,0.891435979,-1.100427612,0.271145854,4
47,noID:eri.coo,1,0.161290323,0.061793801,3.373954324,0.000740967,4
48,noID:lar.tri,0.666666667,0.677419355,0.254087134,-0.021331712,0.982981047,4
49,noID:men.spi,0,0.129032258,0.049499884,-0.57995755,0.561943245,4
50,sal.mex:amb.sal,1.125,4.91202346,1.558408295,-3.033593395,0.002416599,4
51,sal.mex:cyl.aca,0,0.183284457,0.069930636,-0.693093618,0.488250803,4
52,sal.mex:cyl.ech,0,0.659824047,0.247476226,-1.326359943,0.1847205,4
53,sal.mex:cyl.ram,0,0.329912023,0.125217596,-0.93232099,0.351170663,4
54,sal.mex:ephedra,1.5,2.93255132,1.0092988,-1.425936909,0.153886554,4
55,sal.mex:eri.coo,0.291666667,0.183284457,0.069930636,0.409849359,0.681916455,4
56,sal.mex:lar.tri,0,0.769794721,0.287571554,-1.435495934,0.151145826,4
57,sal.mex:men.spi,0.375,0.146627566,0.05601757,0.964898318,0.334595744,4
58,sal.mex:noID,1.875,0.806451613,0.300863602,1.948091573,0.051404007,4
59,tha.mon:amb.sal,4.083333333,3.929618768,1.253475987,0.137295724,0.89079705,4
60,tha.mon:cyl.aca,0,0.146627566,0.056330632,-0.617793469,0.536711489,4
61,tha.mon:cyl.ech,0.375,0.527859238,0.199322309,-0.342384215,0.732061766,4
62,tha.mon:cyl.ram,0,0.263929619,0.100861605,-0.83104625,0.405947502,4
63,tha.mon:ephedra,1.583333333,2.346041056,0.812367881,-0.84621705,0.397431672,4
64,tha.mon:eri.coo,0.5,0.146627566,0.056330632,1.48888226,0.136518376,4
65,tha.mon:lar.tri,0.375,0.615835777,0.23160901,-0.500429932,0.616772381,4
66,tha.mon:men.spi,1,0.117302053,0.045123787,4.155366605,3.25E-05,4
67,tha.mon:noID,0.833333333,0.64516129,0.242311962,0.382267761,0.702262765,4
68,tha.mon:sal.mex,0.416666667,0.73313783,0.274242975,-0.604319193,0.545631448,4
69,u3:amb.sal,63.70833333,65.82111437,13.87346966,-0.567233597,0.570555485,4
70,u3:cyl.aca,2.791666667,2.45601173,0.53608127,0.458434952,0.646639985,4
71,u3:cyl.ech,9.433333333,8.841642229,1.923211966,0.426659543,0.669627322,4
72,u3:cyl.ram,4.541666667,4.420821114,0.9639185,0.123086526,0.902038581,4
73,u3:ephedra,37.80833333,39.29618768,8.406002723,-0.513175195,0.607828776,4
74,u3:eri.coo,0.5,2.45601173,0.53608127,-2.671505902,0.007551174,4
75,u3:lar.tri,9.458333333,10.31524927,2.241948668,-0.572302161,0.567117286,4
76,u3:men.spi,0.833333333,1.964809384,0.428979214,-1.727536536,0.084071349,4
77,u3:noID,10.9,10.80645161,2.348080038,0.061049183,0.95132004,4
78,u3:sal.mex,8.783333333,12.28005865,2.66613155,-2.141513078,0.032232685,4
79,u3:tha.mon,8.325,9.824046921,2.1357602,-1.025743992,0.305012272,4
80,yuc.sch:amb.sal,1.083333333,0.982404692,0.31843101,0.178857332,0.858049726,4
81,yuc.sch:cyl.aca,0,0.036656891,0.014372251,-0.305768852,0.759780646,4
82,yuc.sch:cyl.ech,0,0.131964809,0.050836573,-0.585288512,0.558353738,4
83,yuc.sch:cyl.ram,0,0.065982405,0.025731047,-0.411338549,0.680824306,4
84,yuc.sch:ephedra,0,0.586510264,0.206788601,-1.289770143,0.197130477,4
85,yuc.sch:eri.coo,0,0.036656891,0.014372251,-0.305768852,0.759780646,4
86,yuc.sch:lar.tri,0,0.153958944,0.059066078,-0.633484302,0.526417429,4
87,yuc.sch:men.spi,0,0.029325513,0.011513245,-0.273304473,0.784619178,4
88,yuc.sch:noID,0,0.161290323,0.061793801,-0.64883737,0.5164435,4
89,yuc.sch:sal.mex,0,0.183284457,0.069930636,-0.693093618,0.488250803,4
90,yuc.sch:tha.mon,0.75,0.146627566,0.056330632,2.542220124,0.011015078,4
91,yuc.sch:u3,0.916666667,2.45601173,0.53608127,-2.102425747,0.035515998,4
92,Jtot,213.8666667,240.0747801,18.73483601,-6.054953485,1.40E-09,4
93,,NA,NA,NA,NA,NA,4
94,amb.dum:amb.dum,0,0.010889292,0.004266197,-0.166716727,0.867592944,5
95,amb.sal:amb.sal,4.133333333,2.500907441,0.825682175,1.796499167,0.072415165,5
96,cyl.ech:cyl.ech,0.416666667,0.381125227,0.140942759,0.094670274,0.92457673,5
97,cyl.ram:cyl.ram,0,0.310344828,0.115559778,-0.912937741,0.361275287,5
98,dense.u3:dense.u3,0.333333333,0.01814882,0.007086556,3.744098365,0.000181043,5
99,ephedra:ephedra,7.108333333,6.02722323,1.784906489,0.809211771,0.418393345,5
100,eri.coo:eri.coo,0,0,0,NA,NA,5
101,eri.fas:eri.fas,0,0.010889292,0.004266197,-0.166716727,0.867592944,5
102,lar.tri:lar.tri,1.333333333,1.415607985,0.489791561,-0.117560224,0.906416123,5
103,men.spi:men.spi,0.291666667,0.277676951,0.103750859,0.043432321,0.965356914,5
104,noID:noID,1.416666667,0.190562613,0.071935491,4.571468388,4.84E-06,5
105,PG:PG,0,0.01814882,0.007086556,-0.215591077,0.829306512,5
106,sal.mex:sal.mex,0.291666667,0.010889292,0.004266197,4.298744488,1.72E-05,5
