species,Value,Result,,Transect
lar.tri:amb.sal,1.291666667,Observed,0.013436155,4
sal.mex:sal.mex,6.466666667,Observed,3.55E-50,4
amb.sal:amb.sal,19.39166667,Observed,0.000724552,4
ephedra:ephedra,9.033333333,Observed,0.000286241,4
amb.sal:amb.sal,4.133333333,Observed,0.072415165,5
ephedra:ephedra,7.108333333,Observed,0.418393345,5
sal.mex:sal.mex,0.291666667,Observed,1.72E-05,5
lar.tri:amb.sal,1.041666667,Observed,0.014019084,5
amb.sal:amb.sal,6.325,Observed,4.56E-07,6
ephedra:ephedra,20.33333333,Observed,1.10E-10,6
lar.tri:amb.sal,1.516666667,Observed,0.013081092,6
lar.tri:amb.sal,4.126099707,Expected,,4
sal.mex:sal.mex,0.439882698,Expected,,4
amb.sal:amb.sal,13.0659824,Expected,,4
ephedra:ephedra,4.633431085,Expected,,4
amb.sal:amb.sal,2.500907441,Expected,,5
ephedra:ephedra,6.02722323,Expected,,5
sal.mex:sal.mex,0.010889292,Expected,,5
lar.tri:amb.sal,3.847549909,Expected,,5
amb.sal:amb.sal,2.124463519,Expected,,6
ephedra:ephedra,9.991416309,Expected,,6
lar.tri:amb.sal,4.538626609,Expected,,6
