,nn,sp_simp,Type,Species,Width,Height,sp_simp,Type,Species,Width,Height
78,0.552268051,noID,shrub,?,8,20,noID,shrub,u3?,32,27
250,0.87321246,noID,shrub,?,56,31,cyl.ech,cactus,cyl.ech,30,30
276,1.236931687,noID,shrub,?,8,6,cyl.ram,cactus,cyl.ram,103,85
294,2.611991577,noID,shrub,?,30,33,u3,shrub,u3,48,36
299,0.585234995,noID,shrub,?,35,30,noID,shrub,?,30,32
300,0.585234995,noID,shrub,?,30,32,noID,shrub,?,35,30
331,1.40890028,noID,shrub,?,49,32,ephedra,shrub,ephedra,89,46
378,1.133578405,noID,shrub,?,40,33,u3,shrub,u3,94,48
414,0.494974747,noID,shrub,?,84,65,yuc.sch,yucca,yuc.sch,185,235
424,0.965660396,noID,shrub,?,78,59,amb.sal,shrub,amb.sal,83,62
536,0.65,noID,shrub,?,74,45,men.spi,shrub,men.spi,50,42
81,0.403112887,noID,shrub,?10,35,45,noID,shrub,?10,43,47
82,0.403112887,noID,shrub,?10,43,47,noID,shrub,?10,35,45
230,1.520690633,amb.dum,shrub,amb.dum,75,49,ephedra,shrub,ephedra,144,70
340,0.715891053,amb.dum,shrub,amb.dum,44,37,u3,shrub,u3,30,31
477,0.919238815,amb.dum,shrub,amb.dum,46,30,amb.sal,shrub,amb.sal,44,43
485,0.206155281,amb.dum,shrub,amb.dum,44,39,ephedra,shrub,ephedra,69,50
4,0.935200513,amb.sal,shrub,amb.sal,73,57,sal.mex,shrub,s.mexicana,56,50
12,0.721110255,amb.sal,shrub,amb.sal,88,60,amb.sal,shrub,amb.sal,46,45
13,0.565685425,amb.sal,shrub,amb.sal,46,45,u3,shrub,u3,40,38
14,0.921954446,amb.sal,shrub,amb.sal,51,51,ephedra,shrub,ephedra,93,37
63,1.123610253,amb.sal,shrub,amb.sal,57,44,tha.mon,shrub,tha.mon,57,34
79,0.364005495,amb.sal,shrub,amb.sal,45,53,cyl.ech,cactus,cyl.ech,25,36
84,0.540832691,amb.sal,shrub,amb.sal,26,35,PG,shrub,PG,135,78
85,1.060660172,amb.sal,shrub,amb.sal,130,67,u3,shrub,u3,58,45
92,0.55,amb.sal,shrub,amb.sal,94,73,u3,shrub,u3,45,43
98,0.98488578,amb.sal,shrub,amb.sal,70,443,u3,shrub,u3,40,24
104,1.077032961,amb.sal,shrub,amb.sal,115,66,u3,shrub,u3,53,33
149,1.456021978,amb.sal,shrub,amb.sal,69,53,u3,shrub,u3,44,38
163,0.738241153,amb.sal,shrub,amb.sal,86,79,cyl.ram,cactus,cyl.ram,38,53
185,0.55,amb.sal,shrub,amb.sal,97,67,u3,shrub,u3,42,46
208,0.670820393,amb.sal,shrub,amb.sal,29,47,u3,shrub,u3,26,23
210,0.559016994,amb.sal,shrub,amb.sal,72,53,u3,shrub,u3,60,47
213,0.901387819,amb.sal,shrub,amb.sal,89,66,u3,shrub,u3,47,29
223,0.390512484,amb.sal,shrub,amb.sal,75,45,tha.mon,shrub,tha.mon,46,35
225,1.154339638,amb.sal,shrub,amb.sal,62,40,ephedra,shrub,ephedra,137,75
235,1.408012784,amb.sal,shrub,amb.sal,85,80,ephedra,shrub,ephedra,117,55
265,0.15,amb.sal,shrub,amb.sal,51,59,u3,shrub,u3,51,59
279,0.565685425,amb.sal,shrub,amb.sal,47,44,ephedra,shrub,ephedra,109,58
283,0.636396103,amb.sal,shrub,amb.sal,136,58,u3,shrub,u3,26,23
312,1.060660172,amb.sal,shrub,amb.sal,124,49,u3,shrub,u3,84,37
326,0.291547595,amb.sal,shrub,amb.sal,69,74,u3,shrub,u3,30,54
330,0,amb.sal,shrub,amb.sal,85,69,tha.mon,shrub,tha.mon,85,69
353,0.763216876,amb.sal,shrub,amb.sal,111,73,u3,shrub,u3,61,38
355,0.509901951,amb.sal,shrub,amb.sal,80,69,ephedra,shrub,ephedra,52,41
