FID,MapID,Species,Transect,QN,QL,Width,Length,Height,sp_simp,Type,Notes,easting,northing,new easting,
0,1,sal.mex,4,8,R,102,98,68,sal.mex,shrub,,622472.644,3849246.302,,
1,2,blackbush,4,8,R,63,43,66,blackbush,shrub,,622473.694,3849247.602,,
2,3,eri.coo,4,8,R,20,34,18,eri.coo,shrub,,622474.294,3849246.552,,
3,4,eri.coo,4,8,R,53,40,32,eri.coo,shrub,,622474.294,3849248.402,,
4,5,ephedra,4,8,R,40,41,28,ephedra,shrub,,622473.744,3849248.502,,
5,6,u3,4,8,R,68,62,30,u3,shrub,,622470.944,3849249.352,,
6,7,ephedra,4,8,R,108,94,80,ephedra,shrub,,622471.744,3849250.152,,
7,8,amb.sal,4,8,R,100,80,87,amb.sal,shrub,,622470.744,3849250.552,,
,,cy.ram,4,8,R,15,5,8,cyl.ram,cactus,,622470.744,3849250.552,,
8,9,u3,4,8,R,37,24,33,u3,shrub,,622471.294,3849252.052,,
9,10,u3,4,8,R,74,88,55,u3,shrub,,622470.694,3849252.152,,
10,11,amb.sal,4,8,R,84,105,76,amb.sal,shrub,,622470.994,3849253.252,,
11,12,u3,4,8,R,59,42,39,u3,shrub,,622473.644,3849253.752,,
12,13,ephedra,4,8,R,110,95,50,ephedra,shrub,,622473.744,3849252.902,,
13,14,tha.mon,4,8,R,98,33,26,tha.mon,shrub,,622473.944,3849251.452,,
14,15,eri.coo,4,8,R,73,65,45,eri.coo,shrub,,622474.744,3849250.252,,
15,16,cyl.ram,4,8,R,59,44,83,cyl.ram,cactus,,622476.344,3849254.402,,
16,17,u3,4,8,R,67,44,45,u3,shrub,,622478.144,3849254.152,,
17,18,cyl.ech,4,8,R,29,26,28,cyl.ech,cactus,,622478.194,3849254.052,,
18,19,u3,4,8,R,32,27,30,u3,shrub,,622479.194,3849253.952,,
19,20,men.spi,4,8,R,42,20,22,men.spi,shrub,,622479.444,3849254.102,,
20,21,tha.mon,4,8,R,40,49,33,tha.mon,shrub,,622479.844,3849254.002,,
21,22,u3,4,8,R,33,28,26,u3,shrub,,622480.394,3849252.552,,
22,23,u3,4,8,R,76,46,41,u3,shrub,,622477.944,3849252.252,,
23,24,eri.coo,4,8,R,28,26,30,eri.coo,shrub,,622478.394,3849252.202,,
24,25,cyl.ram,4,8,R,41,36,50,cyl.ram,cactus,,622478.694,3849252.102,,
25,26,eri.coo,4,8,R,55,35,40,eri.coo,shrub,,622478.744,3849251.752,,
26,27,ephedra,4,8,R,65,58,42,ephedra,shrub,,622478.994,3849252.002,,
27,28,u3,4,8,R,82,85,32,u3,shrub,,622479.694,3849250.702,,
28,29,u3,4,8,R,92,70,41,u3,shrub,,622478.244,3849250.502,,
29,30,?,4,8,R,26,27,17,noID,shrub,,622477.294,3849250.052,,
30,31,?,4,8,R,22,16,18,noID,shrub,,622477.294,3849249.952,,
31,32,u3,4,8,R,31,23,30,u3,shrub,,622477.094,3849249.552,,
32,33,u3,4,8,R,66,40,52,u3,shrub,,622477.394,3849249.252,,
33,34,u3,4,8,R,72,40,48,u3,shrub,,622480.094,3849248.552,,
34,35,lar.tri,4,8,R,287,318,175,lar.tri,shrub,,622478.894,3849246.752,,
35,36,ephedra,4,8,R,93,64,48,ephedra,shrub,,622476.444,3849247.002,,
36,37,ephedra,4,8,R,103,69,46,ephedra,shrub,,622475.594,3849248.002,,
37,38,ephedra,4,8,R,70,70,45,ephedra,shrub,,622475.044,3849247.802,,
38,39,tha.mon,4,8,R,68,52,38,tha.mon,shrub,,622474.844,3849249.502,,
40,41,u3,4,8,L,39,50,45,u3,shrub,,622481.094,3849245.352,,
41,42,amb.sal,4,8,L,66,45,69,amb.sal,shrub,,622481.244,3849245.602,,
42,43,u3,4,8,L,45,36,40,u3,shrub,,622481.644,3849245.452,,
43,44,ephedra,4,8,L,125,99,50,ephedra,shrub,,622482.344,3849246.802,,
44,45,ephedra,4,8,L,82,92,56,ephedra,shrub,,622481.694,3849246.512,,
45,46,tha.mon,4,8,L,87,62,35,tha.mon,shrub,,622483.344,3849248.202,,
