"","ID","Transect","QN","QL","Species","X","Y","Width","Length","Height","Notes","X.1","easting","northing"
"1","1",4,"8","R","sal.mex",225,165,102,98,68,"","",622472.644,3849246.302
"2","2",4,"8","R","BB?",330,295,63,43,66,"","",622473.694,3849247.602
"3","3",4,"8","R","eri.coo",390,190,20,34,18,"","",622474.294,3849246.552
"4","4",4,"8","R","ephedra",390,375,40,41,28,"","",622474.294,3849248.402
"5","5",4,"8","R","eri.coo",335,385,53,40,32,"","",622473.744,3849248.502
"6","6",4,"8","R","u3",55,470,68,62,30,"","",622470.944,3849249.352
"7","7",4,"8","R","ephedra",135,550,108,94,80,"","",622471.744,3849250.152
"8","8",4,"8","R","amb.sal",35,590,100,80,87,"","",622470.744,3849250.552
"9","9",4,"8","R","u3",90,740,37,24,33,"","",622471.294,3849252.052
"10","10",4,"8","R","u3",30,750,74,88,55,"","",622470.694,3849252.152
"11","11",4,"8","R","amb.sal",60,860,84,105,76,"","",622470.994,3849253.252
"12","12",4,"8","R","u3",325,910,59,42,39,"","",622473.644,3849253.752
"13","13",4,"8","R","ephedra",335,825,110,95,50,"","",622473.744,3849252.902
"14","14",4,"8","R","tha.mon",355,680,73,65,45,"","",622473.944,3849251.452
"15","15",4,"8","R","tha.mon",435,560,98,33,26,"","",622474.744,3849250.252
"16","16",4,"8","R","cyl.ram",595,975,59,44,83,"","",622476.344,3849254.402
"17","17",4,"8","R","u3",775,950,67,44,45,"","",622478.144,3849254.152
"18","18",4,"8","R","cyl.ech",780,940,29,26,28,"","",622478.194,3849254.052
"19","19",4,"8","R","u3",880,930,32,27,30,"","",622479.194,3849253.952
"20","20",4,"8","R","?",905,945,42,20,22,"","",622479.444,3849254.102
"21","21",4,"8","R","tha.mon",945,935,40,49,33,"","",622479.844,3849254.002
"22","22",4,"8","R","u3",1000,790,33,28,26,"","",622480.394,3849252.552
"23","23",4,"8","R","u3",755,760,76,46,41,"","",622477.944,3849252.252
"24","24",4,"8","R","eri.coo",800,755,28,26,30,"","",622478.394,3849252.202
"25","25",4,"8","R","cyl.ram",830,745,41,36,50,"","",622478.694,3849252.102
"26","26",4,"8","R","eri.coo",835,710,55,35,40,"","",622478.744,3849251.752
"27","27",4,"8","R","ephedra",860,735,65,58,42,"","",622478.994,3849252.002
"28","28",4,"8","R","u3",930,605,82,85,32,"","",622479.694,3849250.702
"29","29",4,"8","R","u3",785,585,92,70,41,"","",622478.244,3849250.502
"30","30",4,"8","R","?",690,540,26,27,17,"too small to id","",622477.294,3849250.052
"31","31",4,"8","R","?",690,530,22,16,18,"too small to id","",622477.294,3849249.952
"32","32",4,"8","R","u3",670,490,31,23,30,"","",622477.094,3849249.552
"33","33",4,"8","R","u3",700,460,66,40,52,"","",622477.394,3849249.252
"34","34",4,"8","R","u3",970,390,72,40,48,"","",622480.094,3849248.552
"35","35",4,"8","R","lar.tri",850,210,287,318,175,"4 stems","",622478.894,3849246.752
"36","36",4,"8","R","ephedra",605,235,93,64,48,"","",622476.444,3849247.002
"37","37",4,"8","R","ephedra",520,335,103,69,46,"","",622475.594,3849248.002
"38","38",4,"8","R","ephedra",465,315,70,70,45,"","",622475.044,3849247.802
"39","39",4,"8","R","eri.coo",445,485,68,52,38,"","",622474.844,3849249.502
"40","40",4,"8","R","?",25,45,38,44,33,"","",622470.644,3849245.102
"41","41",4,"8","L","u3",70,70,39,50,45,"","",622481.094,3849245.352
"42","42",4,"8","L","amb.sal",85,95,66,45,69,"","",622481.244,3849245.602
"43","43",4,"8","L","u3",125,80,45,36,40,"","",622481.644,3849245.452
"44","44",4,"8","L","ephedra",195,186,82,92,56,"","",622482.344,3849246.512
"45","45",4,"8","L","ephedra",130,215,125,99,50,"","",622481.694,3849246.802
"46","46",4,"8","L","tha.mon",295,355,87,62,35,"","",622483.344,3849248.202
"47","47",4,"8","L","u3",185,280,96,66,41,"","",622482.244,3849247.452
"48","48",4,"8","L","u3",45,240,75,72,43,"","",622480.844,3849247.052
"49","49",4,"8","L","u3",25,510,65,43,53,"","",622480.644,3849249.752
"50","50",4,"8","L","amb.sal",20,570,57,31,55,"","",622480.594,3849250.352
"51","51",4,"8","L","amb.sal",285,670,60,54,40,"","",622483.244,3849251.352
"52","52",4,"8","L","amb.sal",300,755,67,75,50,"","",622483.394,3849252.202
"53","53",4,"8","L","amb.sal",345,785,43,33,40,"","",622483.844,3849252.502
"54","54",4,"8","L","u3",195,760,67,72,60,"","",622482.344,3849252.252
"55","55",4,"8","L","ephedra",90,795,120,95,78,"","",622481.294,3849252.602
"56","56",4,"8","L","u3",160,1000,102,72,45,"","",622481.994,3849254.652
"57","57",4,"8","L","ephedra",330,895,92,87,62,"","",622483.694,3849253.602
"58","58",4,"8","L","amb.sal",450,975,53,32,61,"","",622484.894,3849254.402
"59","59",4,"8","L","amb.sal",495,895,47,46,49,"","",622485.344,3849253.602
"60","60",4,"8","L","amb.sal",455,670,48,50,45,"","",622484.944,3849251.352
"61","61",4,"8","L","u3",495,775,60,50,45,"","",622485.344,3849252.402
"62","62",4,"8","L","tha.mon",540,720,85,54,40,"","",622485.794,3849251.852
"63","63",4,"8","L","amb.sal",495,880,51,39,52,"","",622485.344,3849253.452
"64","64",4,"8","L","amb.sal",475,870,23,14,22,"","",622485.144,3849253.352
"65","65",4,"8","L","men.spi",600,895,52,52,30,"","",622486.394,3849253.602
"66","66",4,"8","L","tha.mon",640,800,90,64,30,"","",622486.794,3849252.652
"67","67",4,"8","L","amb.sal",800,810,45,62,71,"","",622488.394,3849252.752
"68","68",4,"8","L","ephedra",875,735,132,98,60,"","",622489.144,3849252.002
"69","69",4,"8","L","u3",870,740,80,70,40,"","",622489.094,3849252.052
"70","70",4,"8","L","amb.sal",825,680,57,39,43,"","",622488.644,3849251.452
"71","71",4,"8","L","u3?",800,720,5,6,6,"","",622488.394,3849251.852
"72","72",4,"8","L","cyl.ech",775,590,42,33,36,"","",622488.144,3849250.552
"73","73",4,"8","L","ephedra",970,520,55,53,48,"","",622490.094,3849249.852
"74","74",4,"8","L","amb.sal",830,490,61,86,63,"","",622488.694,3849249.552
"75","75",4,"8","L","amb.sal",745,435,61,64,56,"","",622487.844,3849249.002
"76","76",4,"8","L","u3",875,465,80,52,49,"","",622489.144,3849249.302
"77","77",4,"8","L","amb.sal",960,420,61,48,52,"","",622489.994,3849248.852
"78","78",4,"8","L","tha.mon",900,380,77,73,35,"","",622489.394,3849248.452
"79","79",4,"8","L","lar.tri",950,280,245,255,230,"","",622489.894,3849247.452
"80","80",4,"8","L","amb.sal",845,180,60,56,54,"","",622488.844,3849246.452
"81","81",4,"8","L","amb.sal",765,140,46,40,33,"","",622488.044,3849246.052
"82","82",4,"8","L","amb.sal",775,115,125,63,74,"","",622488.144,3849245.802
"83","83",4,"8","L","amb.sal",865,50,70,74,40,"","",622489.044,3849245.152
"84","84",4,"8","L","amb.sal",780,370,20,17,20,"","",622488.194,3849248.352
"85","85",4,"8","L","amb.sal",810,10,88,78,48,"","",622488.494,3849244.752
"86","86",4,"8","L","amb.sal",600,135,70,63,55,"","",622486.394,3849246.002
"87","87",4,"8","L","u3",590,75,83,66,40,"","",622486.294,3849245.402
