FID,Species,ID,Transect,QN,QL,Width,Length,Height,Notes,sp_simp,Type,easting,northing,,,,,,,
0,ephedra,1,5,8,R,48,51,52, ,ephedra,shrub,622540.90,3849137.45,,,,,,,
1,PG,2,5,8,R,79,115,65, ,PG,shrub,622541.25,3849138.20,,,,,,,
2,s.mexicana,3,5,8,R,56,66,50, ,sal.mex,shrub,622541.05,3849139.75,,,,,,,
3,amb.sal,4,5,8,R,73,67,57, ,amb.sal,shrub,622541.90,3849140.14,,,,,,,
4,men.spi,5,5,8,R,46,36,27, ,men.spi,shrub,622540.65,3849142.60,,,,,,,
,u3,,,,,76,30,40,,u3,shrub,622540.90,3849143.20,,,,,,,
5,u3,6,5,8,R,44,27,40, ,u3,shrub,622540.60,3849143.60,,,,,,,
6,tha.mon,7,5,8,R,89,70,44, ,tha.mon,shrub,622540.20,3849143.30,,,,,,,
7,u3,8,5,8,R,44,27,40, ,u3,shrub,622540.60,3849143.60,,,,,,,
8,tha.mon,9,5,8,R,70,71,37, ,tha.mon,shrub,622540.10,3849144.95,,,,,,,
9,PG,10,5,8,R,153,115,106, ,PG,shrub,622539.55,3849145.15,,,,,,,
10,ephedra,11,5,8,R,73,60,48, ,ephedra,shrub,622540.25,3849145.70,,,,,,,
11,amb.sal,12,5,8,R,88,76,60, ,amb.sal,shrub,622542.10,3849144.20,,,,,,,
12,amb.sal,13,5,8,R,46,31,45, ,amb.sal,shrub,622542.70,3849144.60,,,,,,,
13,amb.sal,14,5,8,R,51,40,51, ,amb.sal,shrub,622543.10,3849142.10,,,,,,,
14,u3,15,5,8,R,40,47,38, ,u3,shrub,622543.10,3849145.00,,,,,,,
15,ephedra,16,5,8,R,93,62,37, ,ephedra,shrub,622542.90,3849143.00,,,,,,,
16,u3,17,5,8,R,41,40,47, ,u3,shrub,622544.35,3849142.00,,,,,,,
17,u3,18,5,8,R,80,57,45, ,u3,shrub,622544.40,3849143.10,,,,,,,
18,tha.mon,19,5,8,R,54,50,40,total overlap w/ 20,tha.mon,shrub,622544.50,3849144.75,,,,,,,
19,ephedra,20,5,8,R,54,50,40,total overlap w/21,ephedra,shrub,622544.50,3849144.75,,,,,,,
