FID,Species,Name,Width,Length,Height,Transect,QN,QL,X,Y,Notes,sp_simp,Type,easting,northing,,,,
0,lar.tri,L142,375, ,206,0,0, ,0,0, ,lar.tri,shrub,622572.2904,3849111.924,,,,
1,ephedra, ,71,30,58,6,8,R,140,226, ,ephedra,shrub,622556.777,3849060.252,,,,
2,ephedra, ,69,53,66,6,8,R,165,262, ,ephedra,shrub,622557.027,3849060.612,,,,
3,amb.sal, ,55,60,64,6,8,R,165,262, ,amb.sal,shrub,622557.027,3849060.612,,,,
4,eri.fas, ,30,23,24,6,8,R,89,113, ,eri.fas,shrub,622556.267,3849059.122,,,,
5,eri.fas, ,21,20,16,6,8,R,354,117, ,eri.fas,shrub,622558.917,3849059.162,,,,
6,u3, ,22,17,30,6,8,R,370,280, ,u3,shrub,622559.077,3849060.792,,,,
7,eri.fas, ,43,28,39,6,8,R,53,474, ,eri.fas,shrub,622555.907,3849062.732,,,,
8,ephedra, ,52,50,38,6,8,R,99,474, ,ephedra,shrub,622556.367,3849062.732,,,,
9,ephedra, ,46,31,33,6,8,R,150,530, ,ephedra,shrub,622556.877,3849063.292,,,,
10,eri.fas, ,16,18,14,6,8,R,230,474, ,eri.fas,shrub,622557.677,3849062.732,,,,
11,cyl.ech, ,45,35,48,6,8,R,305,504, ,cyl.ech,cactus,622558.427,3849063.032,,,,
12,u3, ,21,20,30,6,8,R,322,494, ,u3,shrub,622558.597,3849062.932,,,,
13,u3, ,21,20,30,6,8,R,367,444, ,u3,shrub,622559.047,3849062.432,,,,
14,u3, ,48,37,39,6,8,R,205,600, ,u3,shrub,622557.427,3849063.992,,,,
15,u3, ,33,32,30,6,8,R,18,698, ,u3,shrub,622555.557,3849064.972,,,,
16,eri.fas, ,40,63,29,6,8,R,30,768, ,eri.fas,shrub,622555.677,3849065.672,,,,
17,cyl.ram, ,168,151,102,6,8,R,66,930, ,cyl.ram,cactus,622556.037,3849067.292,,,,
18,amb.sal, ,70,67,66,6,8,R,160,856, ,amb.sal,shrub,622556.977,3849066.552,,,,
19,u3, ,60,70,50,6,8,R,264,850, ,u3,shrub,622558.017,3849066.492,,,,
20,cyl.ech, ,13,23,45,6,8,R,289,784, ,cyl.ech,cactus,622558.267,3849065.832,,,,
21,amb.sal, ,36,45,45,6,8,R,289,777, ,amb.sal,shrub,622558.267,3849065.762,,,,
22,lar.tri, ,245,210,192,6,8,R,498,844, ,lar.tri,shrub,622560.357,3849066.432,,,,
23,ephedra, ,33,32,34,6,8,R,460,969, ,ephedra,shrub,622559.977,3849067.682,,,,
24,lar.tri, ,204,191,151,6,8,R,570,665, ,lar.tri,shrub,622561.077,3849064.642,,,,
25,eri.fas, ,18,15,19,6,8,R,751,685, ,eri.fas,shrub,622562.887,3849064.842,,,,
26,u3, ,18,20,33,6,8,R,701,635, ,u3,shrub,622562.387,3849064.342,,,,
27,u3, ,57,53,53,6,8,R,675,495, ,u3,shrub,622562.127,3849062.942,,,,
28,lar.tri, ,147,230,157,6,8,R,497,372, ,lar.tri,shrub,622560.347,3849061.712,,,,
29,PG, ,30,45,36,6,8,R,520,393, ,PG,shrub,622560.577,3849061.922,,,,
30,eri.fas, ,33,27,31,6,8,R,690,330, ,eri.fas,shrub,622562.277,3849061.292,,,,
31,u3, ,42,30,42,6,8,R,690,298, ,u3,shrub,622562.277,3849060.972,,,,
32,eri.fas, ,29,15,23,6,8,R,934,218, ,eri.fas,shrub,622564.717,3849060.172,,,,
33,eri.fas, ,24,38,18,6,8,R,955,196, ,eri.fas,shrub,622564.927,3849059.952,,,,
34,ephedra, ,80,82,59,6,8,L,200,38, ,ephedra,shrub,622567.377,3849058.372,,,,
35,lar.tri, ,354,309,183,6,8,L,265,109, ,lar.tri,shrub,622568.027,3849059.082,,,,
36,ephedra, ,42,95,73,6,8,L,270,49, ,ephedra,shrub,622568.077,3849058.482,,,,
37,ephedra, ,112,92,66,6,8,L,410,106, ,ephedra,shrub,622569.477,3849059.052,,,,
38,u3, ,48,49,39,6,8,L,310,259, ,u3,shrub,622568.477,3849060.582,,,,
39,u3, ,26,20,22,6,8,L,430,342, ,u3,shrub,622569.677,3849061.412,,,,
40,u3, ,14,14,18,6,8,L,484,309, ,u3,shrub,622570.217,3849061.082,,,,
