FID,FID_,Species,Name,Width,Length,Height,Transect,QN,QL,X,Y,Notes,sp_simp,Type,easting,northing,ID,MapID
0,0,lar.tri,L142,375, ,206,0,0, ,0,0, ,lar.tri,shrub,622572.290400000056252,3849111.924000000115484,0,0
1,1,ephedra, ,71,30,58,6,8,R,140,226, ,ephedra,shrub,622556.713499999954365,3849063.458759999834001,0,0
2,2,ephedra, ,69,53,66,6,8,R,165,262, ,ephedra,shrub,622556.963499999954365,3849063.818760000169277,0,0
3,3,amb.sal, ,55,60,64,6,8,R,165,262, ,amb.sal,shrub,622556.963499999954365,3849063.818760000169277,0,0
4,4,eri.fas, ,30,23,24,6,8,R,89,113, ,eri.fas,shrub,622556.203499999945052,3849062.328759999945760,0,0
5,5,eri.fas, ,21,20,16,6,8,R,354,117, ,eri.fas,shrub,622558.853499999968335,3849062.368759999983013,0,0
6,6,u3, ,22,17,30,6,8,R,370,280, ,u3,shrub,622559.013500000000931,3849063.998759999871254,0,0
7,7,eri.fas, ,43,28,39,6,8,R,53,474, ,eri.fas,shrub,622555.843499999959022,3849065.938759999815375,0,0
8,8,ephedra, ,52,50,38,6,8,R,99,474, ,ephedra,shrub,622556.303500000038184,3849065.938759999815375,0,0
9,9,ephedra, ,46,31,33,6,8,R,150,530, ,ephedra,shrub,622556.813500000047497,3849066.498759999871254,0,0
10,10,eri.fas, ,16,18,14,6,8,R,230,474, ,eri.fas,shrub,622557.613499999977648,3849065.938759999815375,0,0
11,11,cyl.ech, ,45,35,48,6,8,R,305,504, ,cyl.ech,cactus,622558.363499999977648,3849066.238760000094771,0,0
12,12,u3, ,21,20,30,6,8,R,322,494, ,u3,shrub,622558.533500000019558,3849066.138760000001639,0,0
13,13,u3, ,21,20,30,6,8,R,367,444, ,u3,shrub,622558.983499999972992,3849065.638760000001639,0,0
14,14,u3, ,48,37,39,6,8,R,205,600, ,u3,shrub,622557.363499999977648,3849067.198760000057518,0,0
