"","ID","Transect","QN","QL","Species","X","Y","Width","Length","Height","Notes","X.1","easting","northing"
"1","1",6,"8","R","ephedra",140,226,71,30,58,"","",622556.777,3849060.252
"2","2",6,"8","R","ephedra",165,262,69,53,66,"","",622557.027,3849060.612
"3","3",6,"8","R","amb.sal",165,262,55,60,64,"","",622557.027,3849060.612
"4","4",6,"8","R","eri.fas",89,113,30,23,24,"","",622556.267,3849059.122
"5","5",6,"8","R","eri.fas",354,117,21,20,16,"","",622558.917,3849059.162
"6","6",6,"8","R","u3",370,280,22,17,30,"","",622559.077,3849060.792
"7","7",6,"8","R","eri.fas",53,474,43,28,39,"","",622555.907,3849062.732
"8","8",6,"8","R","ephedra",99,474,52,50,38,"","",622556.367,3849062.732
"9","9",6,"8","R","ephedra",150,530,46,31,33,"","",622556.877,3849063.292
"10","10",6,"8","R","eri.fas",230,474,16,18,14,"","",622557.677,3849062.732
"11","11",6,"8","R","cyl.ech",305,504,45,35,48,"","",622558.427,3849063.032
"12","12",6,"8","R","u3",322,494,21,20,30,"","",622558.597,3849062.932
"13","13",6,"8","R","u3",367,444,21,20,30,"","",622559.047,3849062.432
"14","14",6,"8","R","u3",205,600,48,37,39,"","",622557.427,3849063.992
"15","15",6,"8","R","u3",18,698,33,32,30,"","",622555.557,3849064.972
"16","16",6,"8","R","?",30,768,40,63,29,"","",622555.677,3849065.672
"17","17",6,"8","R","cyl.ram",66,930,168,151,102,"","",622556.037,3849067.292
"18","18",6,"8","R","amb.sal",160,856,70,67,66,"","",622556.977,3849066.552
"19","19",6,"8","R","u3",264,850,60,70,50,"","",622558.017,3849066.492
"20","20",6,"8","R","cyl.ech",289,784,13,23,45,"","",622558.267,3849065.832
"21","21",6,"8","R","amb.sal",289,777,36,45,45,"","",622558.267,3849065.762
"22","22",6,"8","R","lar.tri",498,844,245,210,192,"","",622560.357,3849066.432
"23","23",6,"8","R","ephedra",460,969,33,32,34,"","",622559.977,3849067.682
"24","24",6,"8","R","lar.tri",570,665,204,191,151,"","",622561.077,3849064.642
"25","25",6,"8","R","?",751,685,18,15,19,"","",622562.887,3849064.842
"26","26",6,"8","R","u3",701,635,18,20,33,"","",622562.387,3849064.342
"27","27",6,"8","R","u3",675,495,57,53,53,"","",622562.127,3849062.942
"28","28",6,"8","R","lar.tri",497,372,147,230,157,"","",622560.347,3849061.712
"29","29",6,"8","R","PG",520,393,30,45,36,"","",622560.577,3849061.922
"30","30",6,"8","R","eri.fas",690,330,33,27,31,"","",622562.277,3849061.292
"31","31",6,"8","R","u3",690,298,42,30,42,"","",622562.277,3849060.972
"32","32",6,"8","R","eri.fas",934,218,29,15,23,"","",622564.717,3849060.172
"33","33",6,"8","R","eri.fas",955,196,24,38,18,"","",622564.927,3849059.952
"34","34",6,"8","L","ephedra",200,38,80,82,59,"","",622567.377,3849058.372
"35","35",6,"8","L","lar.tri",265,109,354,309,183,"","",622568.027,3849059.082
"36","36",6,"8","L","ephedra",270,49,42,95,73,"","",622568.077,3849058.482
"37","37",6,"8","L","ephedra",410,106,112,92,66,"","",622569.477,3849059.052
"38","38",6,"8","L","u3",310,259,48,49,39,"","",622568.477,3849060.582
"39","39",6,"8","L","?",430,342,26,20,22,"","",622569.677,3849061.412
"40","40",6,"8","L","?",484,309,14,14,18,"","",622570.217,3849061.082
"41","41",6,"8","L","u3",506,273,11,14,17,"","",622570.437,3849060.722
"42","42",6,"8","L","lar.tri",55,505,290,295,180,"","",622565.927,3849063.042
"43","43",6,"8","L","u3",170,255,35,29,31,"","",622567.077,3849060.542
"44","44",6,"8","L","lar.tri",40,865,153,203,110,"","",622565.777,3849066.642
"45","45",6,"8","L","u3",160,885,40,50,34,"","",622566.977,3849066.842
"46","46",6,"8","L","?",390,790,16,20,23,"","",622569.277,3849065.892
"47","47",6,"8","L","?",420,595,29,33,37,"","",622569.577,3849063.942
"48","48",6,"8","L","?",425,480,53,55,32,"","",622569.627,3849062.792
"49","49",6,"8","L","cyl.ech",445,465,37,41,33,"","",622569.827,3849062.642
"50","50",6,"8","L","?",650,910,27,11,29,"","",622571.877,3849067.092
"51","51",6,"8","L","lar.tri",960,905,320,363,264,"","",622574.977,3849067.042
"52","52",6,"8","L","?",880,590,33,25,29,"","",622574.177,3849063.892
"53","53",6,"8","L","?",770,470,46,46,36,"","",622573.077,3849062.692
"54","54",6,"8","L","lar.tri",770,330,241,271,243,"","",622573.077,3849061.292
"55","55",6,"8","L","?",950,420,9,8,15,"","",622574.877,3849062.192
"56","56",6,"8","L","ephedra",730,60,55,56,43,"","",622572.677,3849058.592
"57","57",6,"8","L","?",680,210,54,57,41,"","",622572.177,3849060.092
"58","58",6,"8","L","ephedra",735,325,44,34,45,"","",622572.727,3849061.242
"59","59",6,"8","L","ephedra",670,370,108,94,50,"","",622572.077,3849061.692
"60","60",6,"8","L","u3",580,465,40,30,36,"","",622571.177,3849062.642
"61","61",6,"7","R","PG",60,50,85,87,96,"","",622555.977,3849068.492
"62","62",6,"7","R","eri.fas",75,30,32,38,35,"","",622556.127,3849068.292
"63","63",6,"7","R","eri.fas",255,30,78,86,46,"","",622557.927,3849068.292
"64","64",6,"7","R","amb.sal",370,95,9,10,14,"","",622559.077,3849068.942
"65","65",6,"7","R","ephedra",25,310,74,75,50,"","",622555.627,3849071.092
"66","66",6,"7","R","PG",0,330,69,79,59,"","",622555.377,3849071.292
"67","67",6,"7","R","cyl.ech",20,345,31,22,40,"","",622555.577,3849071.442
"68","68",6,"7","R","u3",75,450,27,45,39,"","",622556.127,3849072.492
"69","69",6,"7","R","u3",95,595,67,50,45,"","",622556.327,3849073.942
"70","70",6,"7","R","ephedra",195,510,95,95,60,"","",622557.327,3849073.092
"71","71",6,"7","R","tha.mon",245,550,33,24,28,"","",622557.827,3849073.492
"72","72",6,"7","R","u3",245,550,29,50,34,"","",622557.827,3849073.492
"73","73",6,"7","R","u3",190,410,53,43,44,"","",622557.277,3849072.092
"74","74",6,"7","R","u3",10,800,38,40,48,"","",622555.477,3849075.992
"75","75",6,"7","R","ephedra",135,175,107,139,69,"","",622556.727,3849069.742
"76","76",6,"7","R","u3",215,870,30,53,51,"","",622557.527,3849076.692
"77","77",6,"7","R","u3",235,825,27,29,41,"","",622557.727,3849076.242
"78","78",6,"7","R","u3",260,900,80,50,47,"","",622557.977,3849076.992
"79","79",6,"7","R","amb.sal",365,860,35,57,50,"","",622559.027,3849076.592
"80","80",6,"7","R","u3",515,910,58,40,38,"","",622560.527,3849077.092
"81","81",6,"7","R","u3",555,770,36,41,37,"","",622560.927,3849075.692
"82","82",6,"7","R","u3",655,975,26,33,37,"","",622561.927,3849077.742
"83","83",6,"7","R","u3",710,920,62,52,56,"","",622562.477,3849077.192
"84","84",6,"7","R","cyl.ram",710,970,14,16,40,"","",622562.477,3849077.692
"85","L148",6,"7","R","lar.tri",775,715,460,366,160,"","",622563.127,3849075.142
"86","L147",6,"7","R","lar.tri",860,370,284,243,234,"","",622563.977,3849071.692
"87","85",6,"7","R","ephedra",745,175,60,47,46,"","",622562.827,3849069.742
"88","86",6,"7","R","u3",540,640,36,30,27,"","",622560.777,3849074.392
"89","87",6,"7","R","u3",520,605,49,33,43,"","",622560.577,3849074.042
"90","88",6,"7","R","ephedra",550,475,69,64,50,"","",622560.877,3849072.742
"91","89",6,"7","R","u3",420,565,39,32,42,"","",622559.577,3849073.642
"92","90",6,"7","R","u3",480,210,50,30,35,"","",622560.177,3849070.092
"93","91",6,"7","R","lar.tri",400,290,75,95,55,"","",622559.377,3849070.892
"94","92",6,"7","R","u3",320,340,60,53,52,"","",622558.577,3849071.392
"95","93",6,"7","R","cyl.ram",320,245,7,5,16,"","",622558.577,3849070.442
"96","94",6,"7","R","u3",260,310,25,42,36,"","",622557.977,3849071.092
"97","95",6,"7","R","lar.tri",210,280,15,12,20,"","",622557.477,3849070.792
"98","96",6,"7","L","u3",50,30,45,45,38,"","",622565.877,3849068.292
"99","97",6,"7","L","ephedra",125,65,42,60,35,"","",622566.627,3849068.642
"100","98",6,"7","L","ephedra",160,105,60,90,59,"","",622566.977,3849069.042
"101","99",6,"7","L","ephedra",295,270,30,28,33,"","",622568.327,3849070.692
"102","100",6,"7","L","ephedra",305,315,64,65,51,"","",622568.427,3849071.142
"103","101",6,"7","L","ephedra",320,355,30,37,32,"","",622568.577,3849071.542
"104","102",6,"7","L","ephedra",295,255,6,8,19,"","",622568.327,3849070.542
"105","103",6,"7","L","ephedra",295,295,9,25,34,"","",622568.327,3849070.942
"106","104",6,"7","L","ephedra",305,260,4,6,28,"","",622568.427,3849070.592
"107","105",6,"7","L","ephedra",305,240,7,6,18,"","",622568.427,3849070.392
"108","106",6,"7","L","ephedra",315,285,12,13,35,"","",622568.527,3849070.842
"109","L145",6,"7","L","lar.tri",355,680,308,339,193,"","",622568.927,3849074.792
"110","107",6,"7","L","amb.sal",20,920,67,79,58,"","",622565.577,3849077.192
"111","108",6,"7","L","ephedra",155,915,33,15,37,"","",622566.927,3849077.142
"112","109",6,"7","L","ephedra",175,770,40,20,35,"","",622567.127,3849075.692
"113","110",6,"7","L","ephedra",195,795,26,33,40,"","",622567.327,3849075.942
"114","111",6,"7","L","ephedra",235,805,20,12,32,"","",622567.727,3849076.042
"115","112",6,"7","L","ephedra",235,835,25,24,34,"","",622567.727,3849076.342
"116","113",6,"7","L","u3",425,780,62,63,46,"","",622569.627,3849075.792
"117","114",6,"7","L","ephedra",470,600,9,160,76,"","",622570.077,3849073.992
"118","115",6,"7","L","ephedra",395,550,46,74,47,"","",622569.327,3849073.492
"119","116",6,"7","L","u3",490,750,28,26,40,"","",622570.277,3849075.492
"120","117",6,"7","L","cyl.ram",510,845,15,26,40,"","",622570.477,3849076.442
"121","118",6,"7","L","PG",550,960,52,60,53,"","",622570.877,3849077.592
"122","119",6,"7","L","cyl.ram",590,800,33,22,45,"","",622571.277,3849075.992
"123","120",6,"7","L","u3",670,900,31,19,30,"","",622572.077,3849076.992
"124","121",6,"7","L","u3",745,630,50,74,46,"","",622572.827,3849074.292
"125","122",6,"7","L","lar.tri",840,510,240,215,216,"","",622573.777,3849073.092
"126","123",6,"7","L","ephedra",985,530,31,29,30,"","",622575.227,3849073.292
"127","124",6,"7","L","eri.fas",990,600,15,21,20,"","",622575.277,3849073.992
"128","125",6,"7","L","u3",955,275,55,59,43,"","",622574.927,3849070.742
"129","126",6,"7","L","men.spi?",910,110,28,40,18,"","",622574.477,3849069.092
"130","127",6,"7","L","u3",875,185,26,21,30,"","",622574.127,3849069.842
"131","128",6,"7","L","u3",785,125,35,33,30,"","",622573.227,3849069.242
"132","129",6,"7","L","cyl.ram",680,165,63,65,60,"","",622572.177,3849069.642
"133","130",6,"7","L","u3",620,60,30,40,54,"","",622571.577,3849068.592
"134","131",6,"7","L","u3",545,325,50,38,31,"","",622570.827,3849071.242
"135","L146",6,"6","R","lar.tri",450,395,350,385,220,"","",622559.877,3849081.942
"136","132",6,"6","R","amb.sal",450,35,95,68,70,"","",622559.877,3849078.342
"137","133",6,"6","R","ephedra",180,180,52,42,55,"","",622557.177,3849079.792
"138","134",6,"6","R","lar.tri",50,280,254,310,193,"","",622555.877,3849080.792
"139","135",6,"6","R","u3",107,665,59,64,39,"","",622556.447,3849084.642
"140","136",6,"6","R","u3",220,765,52,30,36,"","",622557.577,3849085.642
"141","137",6,"6","R","ephedra",40,765,84,94,52,"","",622555.777,3849085.642
"142","138",6,"6","R","ephedra",80,805,70,66,56,"","",622556.177,3849086.042
"143","139",6,"6","R","ephedra",10,890,40,46,33,"","",622555.477,3849086.892
"144","140",6,"6","R","U?",134,910,62,40,38,"toothed fuzzy leaves, large flower head","",622556.717,3849087.092
"145","141",6,"6","R","u3",220,785,27,50,34,"","",622557.577,3849085.842
"146","142",6,"6","R","lar.tri",490,1000,270,310,157,"","",622560.277,3849087.992
"147","143",6,"6","R","u3",440,690,70,67,45,"","",622559.777,3849084.892
"148","144",6,"6","R","ephedra",650,810,53,52,51,"","",622561.877,3849086.092
"149","145",6,"6","R","u3",685,830,45,30,34,"","",622562.227,3849086.292
"150","146",6,"6","R","cyl.ech",765,525,23,21,20,"","",622563.027,3849083.242
"151","147",6,"6","R","u3",570,610,26,32,23,"","",622561.077,3849084.092
"152","148",6,"6","R","cyl.ech",765,525,23,21,20,"","",622563.027,3849083.242
"153","149",6,"6","R","ephedra",800,680,100,100,55,"","",622563.377,3849084.792
"154","150",6,"6","R","ephedra",750,680,60,55,50,"","",622562.877,3849084.792
"155","151",6,"6","R","u3",700,595,47,56,38,"","",622562.377,3849083.942
"156","152",6,"6","R","cyl.ech",690,595,25,26,46,"","",622562.277,3849083.942
"157","L149",6,"6","R","lar.tri",750,305,376,272,165,"","",622562.877,3849081.042
"158","153",6,"6","R","u3",605,150,50,43,44,"","",622561.427,3849079.492
"159","154",6,"6","R","u3",965,265,30,30,31,"","",622565.027,3849080.642
"160","155",6,"6","R","u3",885,75,20,18,29,"","",622564.227,3849078.742
"161","156",6,"6","L","ephedra",120,65,47,49,49,"","",622566.577,3849078.642
"162","157",6,"6","L","ephedra",155,70,35,53,50,"","",622566.927,3849078.692
"163","158",6,"6","L","ephedra",30,120,10,8,30,"","",622565.677,3849079.192
"164","159",6,"6","L","ephedra",205,190,30,32,32,"","",622567.427,3849079.892
"165","160",6,"6","L","ephedra",35,425,46,45,60,"","",622565.727,3849082.242
"166","161",6,"6","L","amb.sal",60,425,57,48,72,"","",622565.977,3849082.242
"167","162",6,"6","L","u3",0,515,50,40,46,"","",622565.377,3849083.142
"168","163",6,"6","L","u3",230,515,34,55,45,"","",622567.677,3849083.142
"169","164",6,"6","L","PG",260,665,5,6,11,"under dead shrub","",622567.977,3849084.642
"170","165",6,"6","L","PG",170,805,125,120,100,"","",622567.077,3849086.042
"171","166",6,"6","L","ephedra",610,870,175,138,52,"ring formation","",622571.477,3849086.692
"172","167",6,"6","L","u3",560,915,22,30,29,"","",622570.977,3849087.142
"173","168",6,"6","L","u3",585,870,39,30,36,"inside ephedra ring","",622571.227,3849086.692
"174","169",6,"6","L","cyl.ram",680,905,44,47,66,"","",622572.177,3849087.042
"175","170",6,"6","L","u3",680,855,30,20,36,"","",622572.177,3849086.542
"176","171",6,"6","L","eri.fas",680,970,34,24,36,"","",622572.177,3849087.692
"177","172",6,"6","L","PG",730,950,100,109,71,"","",622572.677,3849087.492
"178","173",6,"6","L","PG",760,830,64,84,92,"","",622572.977,3849086.292
"179","174",6,"6","L","PG",920,930,132,137,107,"","",622574.577,3849087.292
"180","175",6,"6","L","ephedra",440,970,86,103,70,"","",622569.777,3849087.692
"181","176",6,"6","L","PG",730,615,87,74,38,"","",622572.677,3849084.142
"182","177",6,"6","L","u3",630,575,53,33,30,"","",622571.677,3849083.742
"183","178",6,"6","L","u3",560,630,72,66,35,"","",622570.977,3849084.292
"184","179",6,"6","L","u3",755,655,18,18,20,"","",622572.927,3849084.542
"185","180",6,"6","L","u3",570,540,44,55,35,"","",622571.077,3849083.392
"186","181",6,"6","L","amb.sal",1000,445,120,92,66,"","",622575.377,3849082.442
"187","182",6,"6","L","tha.mon",1000,355,64,53,39,"","",622575.377,3849081.542
"188","183",6,"6","L","ephedra",910,95,115,149,87,"","",622574.477,3849078.942
"189","184",6,"6","L","ephedra",845,150,122,117,87,"","",622573.827,3849079.492
"190","185",6,"6","L","lar.tri",710,145,70,59,60,"","",622572.477,3849079.442
"191","186",6,"6","L","lar.tri",665,315,13,19,25,"under dead shrub","",622572.027,3849081.142
"192","187",6,"6","L","eri.fas",565,135,95,46,49,"","",622571.027,3849079.342
"193","188",6,"6","L","cyl.ech",550,85,33,40,46,"","",622570.877,3849078.842
"194","189",6,"6","L","eri.fas",435,285,25,22,45,"","",622569.727,3849080.842
"195","190",6,"5","R","u2",350,155,56,33,42,"","",622558.877,3849089.542
"196","191",6,"5","R","eri.fas",265,235,26,28,26,"","",622558.027,3849090.342
"197","192",6,"5","R","sal.mex",140,130,30,33,28,"","",622556.777,3849089.292
"198","193",6,"5","R","ephedra",30,320,51,39,41,"","",622555.677,3849091.192
"199","194",6,"5","R","ephedra",0,420,89,87,57,"","",622555.377,3849092.192
"200","195",6,"5","R","cyl.aca",165,430,26,39,63,"","",622557.027,3849092.292
"201","196",6,"5","R","cyl.ech",45,870,29,28,25,"","",622555.827,3849096.692
"202","197",6,"5","R","eri.fas",95,905,67,65,50,"","",622556.327,3849097.042
"203","198",6,"5","R","lar.tri",470,780,270,230,193,"","",622560.077,3849095.792
