FID,FID_,Species,Name,Width,Length,Height,Transect,QN,QL,X,Y,Notes,sp_simp,Type,easting,northing,ID,MapID,buff
336,339,?, ,40,54,25,6,3,L,20,840,spiny w/ few leaves,noID,shrub,622565.577,3849116.392,0,0,0.2
749,275,?, ,8,8,6,5,5,L,0,0, ,noID,shrub,622558.85,3849171.65,268,0,0.04
591,118,amb.dum, ,50,36,38,5,7,R,0,0,AMDD?!?,amb.dum,shrub,622547.3,3849147.1,118,0,0.25
701,229,amb.dum, ,75,81,49,5,5,R,0,0, ,amb.dum,shrub,622544.35,3849170.75,224,0,0.375
812,339,amb.dum, ,44,29,37,5,4,L,0,0, ,amb.dum,shrub,622557.9,3849179.2,329,0,0.22
952,476,amb.dum, ,46,55,30,5,1,R,0,0, ,amb.dum,shrub,622544.378,3849214.995,456,0,0.23
960,484,amb.dum, ,44,43,39,5,1,R,0,0, ,amb.dum,shrub,622546.1037,3849214.885,464,0,0.22
3,3,amb.sal, ,55,60,64,6,8,R,165,262, ,amb.sal,shrub,622556.9635,3849063.819,0,0,0.275
18,18,amb.sal, ,70,67,66,6,8,R,160,856, ,amb.sal,shrub,622556.9135,3849069.759,0,0,0.35
21,21,amb.sal, ,36,45,45,6,8,R,289,777, ,amb.sal,shrub,622558.2035,3849068.969,0,0,0.18
63,64,amb.sal, ,9,10,14,6,7,R,370,95, ,amb.sal,shrub,622559.0135,3849072.149,0,0,0.045
77,79,amb.sal, ,35,57,50,6,7,R,365,860, ,amb.sal,shrub,622558.9635,3849079.799,0,0,0.175
108,110,amb.sal, ,67,79,58,6,7,L,20,920, ,amb.sal,shrub,622565.5135,3849080.399,0,0,0.335
134,136,amb.sal, ,95,68,70,6,6,R,450,35, ,amb.sal,shrub,622559.8135,3849081.549,0,0,0.475
164,166,amb.sal, ,57,48,72,6,6,L,60,425, ,amb.sal,shrub,622565.9135,3849085.449,0,0,0.285
184,186,amb.sal, ,120,92,66,6,6,L,1000,445, ,amb.sal,shrub,622575.3135,3849085.649,0,0,0.6
214,215,amb.sal, ,70,80,60,6,5,L,340,35, ,amb.sal,shrub,622568.7135,3849091.549,0,0,0.35
222,223,amb.sal, ,44,58,60,6,5,L,565,975, ,amb.sal,shrub,622571.027,3849097.742,0,0,0.22
260,261,amb.sal, ,64,67,49,6,4,R,740,120,very few leave,amb.sal,shrub,622562.777,3849099.192,0,0,0.32
269,270,amb.sal, ,108,87,85,6,4,L,85,735, ,amb.sal,shrub,622566.227,3849105.342,0,0,0.54
278,280,amb.sal, ,7,4,17,6,4,L,720,690,under dead shrub,amb.sal,shrub,622572.577,3849104.892,0,0,0.035
280,282,amb.sal, ,25,23,34,6,4,L,680,545, ,amb.sal,shrub,622572.177,3849103.442,0,0,0.125
292,295,amb.sal, ,80,64,74,6,4,L,580,255, ,amb.sal,shrub,622571.177,3849100.542,0,0,0.4
293,296,amb.sal, ,52,55,41,6,4,L,650,305, ,amb.sal,shrub,622571.877,3849101.042,0,0,0.26
300,303,amb.sal, ,29,40,59,6,4,L,900,235, ,amb.sal,shrub,622574.377,3849100.342,0,0,0.145
312,315,amb.sal, ,72,73,60,6,3,R,40,540, ,amb.sal,shrub,622555.7902,3849114.596,0,0,0.36
314,317,amb.sal, ,36,31,36,6,3,R,75,640, ,amb.sal,shrub,622556.1402,3849115.146,0,0,0.18
315,318,amb.sal, ,29,36,35,6,3,R,15,675, ,amb.sal,shrub,622555.5402,3849115.496,0,0,0.145
316,319,amb.sal, ,48,40,40,6,3,R,195,725, ,amb.sal,shrub,622557.327,3849115.242,0,0,0.24
318,321,amb.sal, ,52,55,46,6,3,R,80,760, ,amb.sal,shrub,622556.177,3849115.592,0,0,0.26
319,322,amb.sal, ,40,32,42,6,3,R,90,805, ,amb.sal,shrub,622556.277,3849116.042,0,0,0.2
320,323,amb.sal, ,129,115,80,6,3,R,140,895, ,amb.sal,shrub,622556.777,3849116.942,0,0,0.645
322,325,amb.sal, ,28,30,42,6,3,R,245,910, ,amb.sal,shrub,622557.827,3849117.092,0,0,0.14
328,331,amb.sal, ,54,54,69,6,3,R,895,470, ,amb.sal,shrub,622564.327,3849112.692,0,0,0.27
349,352,amb.sal, ,10,12,36,6,2,R,275,60, ,amb.sal,shrub,622558.127,3849120.192,0,0,0.05
