"","names","Joincount","Expected","Variance","z.value","p","transect"
"1","amb.dum:amb.dum",0,0,0,NA,NA,4
"2","amb.sal:amb.sal",19.8689754689755,13.0659824046921,1.2159772246433,6.1693201473845,6.85842379886132e-10,4
"3","cyl.aca:cyl.aca",0.145833333333333,0.0146627565982405,0.00202519716825235,2.91475980791345,0.00355962385721512,4
"4","cyl.ech:cyl.ech",0.154761904761905,0.224340175953079,0.02987725120937,-0.402534690896996,0.687290562916449,4
"5","cyl.ram:cyl.ram",0,0.0527859237536657,0.00720996961693978,-0.621657831006236,0.534166885424411,4
"6","dense.u3:dense.u3",0,0,0,NA,NA,4
"7","ephedra:ephedra",6.25339105339105,4.63343108504399,0.513618323403421,2.26039338762916,0.0237968465312443,4
"8","eri.coo:eri.coo",0.353625541125541,0.0146627565982405,0.00202519716825235,7.53213964069031,4.99155341337311e-14,4
"9","eri.fas:eri.fas",0,0,0,NA,NA,4
"10","lar.tri:lar.tri",1.37896825396825,0.30791788856305,0.0406608757960142,5.311553122711,1.08694875590174e-07,4
"11","men.spi:men.spi",0.142857142857143,0.00879765395894428,0.00121849413694226,3.84048291482166,0.000122792518543672,4
"12","noID:noID",1.02876984126984,0.338709677419355,0.0446000466598865,3.26752786916026,0.00108491184268127,4
"13","PG:PG",0,0,0,NA,NA,4
"14","sal.mex:sal.mex",5.39352453102453,0.439882697947214,0.0574290571837583,20.6708701580154,6.33635476741137e-95,4
"15","tha.mon:tha.mon",0.601190476190476,0.278592375366569,0.0368929495185455,1.67953909519052,0.0930470261837099,4
"16","u2:u2",0,0,0,NA,NA,4
"17","u3:u3",91.1826479076479,82.0307917888563,3.31799215150113,5.02425306974846,5.05395588353795e-07,4
"18","yuc.sch:yuc.sch",0.43452380952381,0.0146627565982405,0.00202519716825235,9.32979142454485,1.06079451601905e-20,4
"19","amb.sal:amb.dum",0,0,0,NA,NA,4
"20","cyl.aca:amb.dum",0,0,0,NA,NA,4
"21","cyl.aca:amb.sal",1.1853354978355,0.982404692082111,0.111204092837079,0.608537847460104,0.542830812062242,4
"22","cyl.ech:amb.dum",0,0,0,NA,NA,4
"23","cyl.ech:amb.sal",3.86884920634921,3.5366568914956,0.394731453753042,0.528735796411684,0.596988741421761,4
"24","cyl.ech:cyl.aca",0.125,0.131964809384164,0.0178504914029463,-0.0521295705123177,0.958425451130662,4
"25","cyl.ram:amb.dum",0,0,0,NA,NA,4
"26","cyl.ram:amb.sal",1.58910533910534,1.7683284457478,0.199305323958982,-0.40145285525477,0.688086741614524,4
"27","cyl.ram:cyl.aca",0.142857142857143,0.0659824046920821,0.00903823558799997,0.808615051343232,0.418736604461145,4
"28","cyl.ram:cyl.ech",0,0.237536656891496,0.0319566497821323,-1.32877062392032,0.183923656655836,4
"29","dense.u3:amb.dum",0,0,0,NA,NA,4
"30","dense.u3:amb.sal",0,0,0,NA,NA,4
"31","dense.u3:cyl.aca",0,0,0,NA,NA,4
"32","dense.u3:cyl.ech",0,0,0,NA,NA,4
