short,ID
amb.dum,Ambrosia dumosa
amb.sal,Ambrosia salsola
col.ram,Coleogyne ramosissima
cyl.aca,Cylindropuntia acanthocarpa
cyl.ech,Cylindropuntia echinocarpa
cyl.ram,Cylindropuntia ramosissima
ephedra,Ephedra nevadensis
eri.coo,Ericameria cooperi
eri.fas,Eriogonum fasciculatum
kra.ere,Krameria erecta
lar.tri,Larrea tridentata
lyc.and,Lycium andersonii
lyc.coo,Lycium cooperi
men.spi,Menodora spinescens
tet.ste,Tetradymia stenolepis
sal.mex,Scutellaria mexicana
tha.mon,Thamnosma montana
u3,Acamptopappus sphaerocephalus
xyl.tor,Xylorhiza tortifolia
yuc.sch,Yucca schidigera
